"year","industry_section","industry_division","industry_class","establishment_count","average_age","average_wage","wage","jobs","average_establishment_size","ID CNAE","color","icon"
2015,"Indústrias de Transformação","Produtos Alimentícios","Fabricação de farinha de mandioca",1,40,1159,1159,1,1,"10635","#5E1F05","/static/img/icons/industry_section/industry_section_c.png"
2015,"Indústrias de Transformação","Produtos de metal","Fabricação de produtos de trefilados de metal",1,25,1156,1156,1,1,"25926","#5E1F05","/static/img/icons/industry_section/industry_section_c.png"
2015,"Informação e Comunicação","Serviços de Tecnologia da Informação","Desenvolvimento softwares customizáveis",1,57,0,0,1,1,"62023","#57D200","/static/img/icons/industry_section/industry_section_j.png"
2015,"Comércio","Comércio Atacadista","Representantes comerciais de máquinas, equipamentos, embarcações e aeronaves",1,21,"1162.23","1162.23",1,1,"46141","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2016,"Indústrias de Transformação","Produtos Diversos","Fabricação de produtos diversos",1,37,1160,1160,1,1,"32990","#5E1F05","/static/img/icons/industry_section/industry_section_c.png"
2016,"Comércio","Comércio de Veículos Automotores","Manutenção de motocicletas",2,22,"1414.6","2829.2",2,1,"45439","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2016,"Agropecuária","Confidential","Criação de bovinos",2,58,"247.66","495.32",2,1,"01512","#105B10","/static/img/icons/industry_section/industry_section_a.png"
2016,"Saneamento Básico","Esgoto e Saneamento","Atividades relacionadas a esgoto",1,60,1420,1420,1,1,"37029","#2F2F6D","/static/img/icons/industry_section/industry_section_e.png"
2016,"Saúde e serviços sociais","Saúde Humana","Atividades de apoio à gestão de saúde",1,38,"1528.28","3056.56",2,2,"86607","#800000","/static/img/icons/industry_section/industry_section_q.png"
2016,"Informação e Comunicação","Prestação de Serviços de Informação","Provedores de conteúdo na internet",1,27,1200,1200,1,1,"63194","#57D200","/static/img/icons/industry_section/industry_section_j.png"
2016,"Comércio","Comércio Atacadista","Atacado de material elétrico",1,37,1262,1262,1,1,"46737","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2016,"Atividades Administrativas","Aluguéis não-imobiliários","Aluguel de máquinas e equipamentos para construção",2,43,"1710.66","3421.32",2,1,"77322","#b7834b","/static/img/icons/industry_section/industry_section_n.png"
2016,"Atividades Financeiras","Atividades de Serviços Financeiros","Corretores de seguros",1,33,"1210.43","1210.43",1,1,"66223","#408e60","/static/img/icons/industry_section/industry_section_k.png"
2016,"Comércio","Comércio Atacadista","Atacado de papel, papelão e embalagens",1,35,2193,2193,1,1,"46869","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2016,"Agropecuária","Produção Florestal","Produção florestal - florestas plantadas",1,44,1200,1200,1,1,"02101","#105B10","/static/img/icons/industry_section/industry_section_a.png"
2017,"Comércio","Comércio Varejista","Varejo de discos, CDs, DVDs e fitas",1,21,"2334.67","2334.67",1,1,"47628","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2017,"Informação e Comunicação","Edição e impressão","Edição de cadastros, listas e outros produtos gráficos",2,24,"1669.41","3338.83",2,1,"58298","#57D200","/static/img/icons/industry_section/industry_section_j.png"
2017,"Informação e Comunicação","Prestação de Serviços de Informação","Serviços de hospedagem na internet",1,31,1200,1200,1,1,"63119","#57D200","/static/img/icons/industry_section/industry_section_j.png"
2017,"Comércio","Comércio Atacadista","Atacado de ferragens e ferramentas",1,56,"2155.6","2155.6",1,1,"46729","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2017,"Comércio","Comércio de Veículos Automotores","Manutenção de motocicletas",2,34,"805.9","1611.8",2,1,"45439","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2017,"Atividades Financeiras","Atividades de Serviços Financeiros","Corretores de seguros",1,31,1638,1638,1,1,"66223","#408e60","/static/img/icons/industry_section/industry_section_k.png"
2017,"Serviços Especializados","Consultoria em Gestão Empresarial","Consultorias em gestão empresarial",2,44,"2295.34","4590.69",2,1,"70204","#cc0000","/static/img/icons/industry_section/industry_section_m.png"
2017,"Alojamento e Alimentação","Alimentação","Serviços ambulantes de alimentação",1,40,1251,3753,3,3,"56121","#FFC41C","/static/img/icons/industry_section/industry_section_i.png"
2017,"Indústrias de Transformação","Produtos Químicos","Fabricação de produtos de limpeza",1,38,"1732.17","3464.35",2,2,"20622","#5E1F05","/static/img/icons/industry_section/industry_section_c.png"
2014,"Informação e Comunicação","Prestação de Serviços de Informação","Agências de notícias",1,31,"1902.68","9513.41",5,5,"63917","#57D200","/static/img/icons/industry_section/industry_section_j.png"
2014,"Atividades Administrativas","Serviços para Edifícios","Condomínios prediais",11,46,"1173.07","23461.45",20,1,"81125","#b7834b","/static/img/icons/industry_section/industry_section_n.png"
2014,"Indústrias de Transformação","Produtos Alimentícios","Fabricação de conservas de frutas",1,25,"1088.78","10887.8",10,10,"10317","#5E1F05","/static/img/icons/industry_section/industry_section_c.png"
2014,"Atividades Administrativas","Serviços de Escritório","Outras atividades de serviços prestados às empresas",6,30,"1346.43","33660.79",25,4,"82997","#b7834b","/static/img/icons/industry_section/industry_section_n.png"
2014,"Eletricidade e Gás","Eletricidade e gás","Transmissão de energia elétrica",2,38,"3488.66","258161.37",74,37,"35123","#e377c2","/static/img/icons/industry_section/industry_section_d.png"
2014,"Indústrias de Transformação","Manutenção de máquinas e equipamentos","Instalação de máquinas e equipamentos industriais",1,30,"1244.52","4978.1",4,4,"33210","#5E1F05","/static/img/icons/industry_section/industry_section_c.png"
