"year","industry_section","industry_division","industry_class","establishment_count","average_age","average_wage","wage","jobs","average_establishment_size","ID CNAE","color","icon"
2011,"Construção","Obras de Infra-estrutura","Obras para geração e distribuição de energia elétrica",11,32,"1556.78","3952683.13",2539,230,"42219","#E87600","/static/img/icons/industry_section/industry_section_f.png"
2011,"Comércio","Comércio Varejista","Varejo de hortifrutigranjeiros",17,32,"1037.31","172194.23",166,9,"47245","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2011,"Indústrias de Transformação","Produtos eletrônicos","Fabricação de componentes eletrônicos",3,29,"1570.68","103665.42",66,22,"26108","#5E1F05","/static/img/icons/industry_section/industry_section_c.png"
2011,"Indústrias de Transformação","Produtos Alimentícios","Fabricação de produtos de panificação",44,31,"927.28","489604.58",528,12,"10911","#5E1F05","/static/img/icons/industry_section/industry_section_c.png"
2011,"Indústrias de Transformação","Máquinas e Equipamentos","Fabricação de outras máquinas e equipamentos para uso industrial específico",3,27,"2030.71","123873.54",61,20,"28691","#5E1F05","/static/img/icons/industry_section/industry_section_c.png"
2011,"Comércio","Comércio Varejista","Minimercados, mercearias e armazéns",223,31,"971.08","1311934.3",1351,6,"47121","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2011,"Indústrias de Transformação","Produtos e materiais elétricos","Fabricação de outros equipamentos e aparelhos elétricos",3,28,"2841.35","102288.85",36,12,"27902","#5E1F05","/static/img/icons/industry_section/industry_section_c.png"
2011,"Comércio","Comércio Atacadista","Atacado de outras máquinas, aparelhos e equipamentos",11,32,"1140.78","44490.65",39,3,"46699","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2011,"Comércio","Comércio Atacadista","Atacado de mercadorias em geral",13,31,"1563.79","103210.54",66,5,"46931","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2011,"Indústrias de Transformação","Máquinas e Equipamentos","Fabricação de máquinas para terraplenagem",1,27,"1537.92","1537.92",1,1,"28542","#5E1F05","/static/img/icons/industry_section/industry_section_c.png"
2011,"Serviços Especializados","Publicidade e pesquisa de mercado","Outras atividades de publicidade",16,30,"1818.61","112754.25",62,3,"73190","#cc0000","/static/img/icons/industry_section/industry_section_m.png"
2011,"Indústrias de Transformação","Produtos e materiais elétricos","Fabricação de outros aparelhos eletrodomésticos",1,30,"1152.33","17285.02",15,15,"27597","#5E1F05","/static/img/icons/industry_section/industry_section_c.png"
